tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes
tt0000186;short;Le cuirassé Maine;Le cuirassé Maine;0;1898;\N;\N;Short,War;4.2;21
tt0000188;short;The Deserter;The Deserter;0;1898;\N;\N;Drama,Short;4.0;11
tt0000195;short;Les farces de Jocko;Les farces de Jocko;0;1898;\N;\N;Comedy,Short;;
tt0000198;short;La fuite en Égypte;La fuite en Égypte;0;1898;\N;1;Short;5.0;16
tt0000212;short;Saida do Paquete Duque de Braganca;Saida do Paquete Duque de Braganca;0;1898;\N;\N;Short;;
tt0000214;short;Tearing Down the Spanish Flag;Tearing Down the Spanish Flag;0;1898;\N;\N;Short,War;4.5;87
tt0000221;short;Aspectos da Praia de Cascais;Aspectos da Praia de Cascais;0;1899;\N;\N;Documentary,Short;;
tt0000231;short;Portuguese Railway Train;Portuguese Railway Train;0;1896;\N;1;Documentary,Short;3.6;15
tt0000242;short;The Sign of the Cross;Le diable au couvent;0;1899;\N;3;Fantasy,Horror,Short;6.4;1074
tt0000254;short;Monnaie de lapin;Monnaie de lapin;0;1899;\N;\N;Comedy,Short;;
tt0000264;short;Summoning the Spirits;Évocation spirite;0;1899;\N;1;Fantasy,Horror,Short;5.7;404
tt0000267;short;L'angélus;L'angélus;0;1900;\N;\N;Short;;
tt0000302;short;La fée aux choux, ou la naissance des enfants;La fée aux choux, ou la naissance des enfants;0;1900;\N;1;Short;5.2;180
tt0000305;short;L'Habanera;L'Habanera;0;1900;\N;\N;Short;;
tt0000314;short;Leçon de danse;Leçon de danse;0;1900;\N;\N;Short;;
tt0000337;short;Spanish Bullfight;Spanish Bullfight;0;1900;\N;1;Short,Sport;5.0;345
tt0000357;short;The Haunted Curiosity Shop;The Haunted Curiosity Shop;0;1901;\N;2;Comedy,Fantasy,Horror;5.8;417
tt0000358;short;History of a Crime;Histoire d'un crime;0;1901;\N;5;Crime,Drama,Short;6.2;652
tt0000372;short;Scène d'ivresse;Scène d'ivresse;0;1901;\N;\N;Short;;
tt0000376;short;A táncz;A táncz;0;1901;\N;\N;Documentary,Short;7.3;17
tt0000379;short;Visita de la escuadra inglesa a Barcelona;Visita de la escuadra inglesa a Barcelona;0;1901;\N;6;Documentary,Short;5.2;10
tt0000395;short;La fiole enchantée;La fiole enchantée;0;1902;\N;\N;Short;;
tt0000400;short;Le lion savant;Le lion savant;0;1902;\N;\N;Comedy,Short;6.4;16
tt0000401;short;Le marchand de ballons;Le marchand de ballons;0;1902;\N;\N;Comedy,Short;;
tt0000409;short;Midwife to the Upper Classes;Sage-femme de première classe;0;1902;\N;4;Comedy,Short;5.2;200
tt0000422;short;Les aventures d'un voyageur trop pressé;Les aventures d'un voyageur trop pressé;0;1903;\N;\N;Short;6.0;9
tt0000423;short;The Enchanted Box;La boîte à malice;0;1903;\N;1;Fantasy,Short;5.4;222
tt0000430;short;A Chess Dispute;A Chess Dispute;0;1903;\N;1;Comedy,Short;5.9;658
tt0000451;short;Mary Jane's Mishap;Mary Jane's Mishap;0;1903;\N;4;Comedy,Short;6.5;840
tt0000452;short;The Messenger Boy's Mistake;The Messenger Boy's Mistake;0;1903;\N;2;Comedy,Romance,Short;4.7;104
tt0000455;short;The Music Lover;Le mélomane;0;1903;\N;3;Comedy,Music,Short;6.8;1756
tt0000485;short;La gavotte de la reine;La gavotte de la reine;0;1904;\N;\N;Short;;
tt0000492;short;Personal;Personal;0;1904;\N;6;Comedy,Short;5.1;118
tt0000497;short;A Railway Tragedy;A Railway Tragedy;0;1904;\N;5;Crime,Short;5.2;75
tt0000504;short;Coso y Paseo de Santa Engracia (Calles y plazas de Zaragoza);Coso y Paseo de Santa Engracia (Calles y plazas de Zaragoza);0;1905;\N;\N;Documentary,Short;;
tt0000531;short;Los sitios de Chile;Los sitios de Chile;0;1905;\N;\N;Drama,Short,War;;
tt0000541;short;Caros død;Caros død;0;1906;\N;6;Short;;
tt0000549;short;En foræring til min Kone;En foræring til min Kone;0;1906;\N;\N;Short;;
tt0000556;short;Hævnet;Hævnet;0;1907;\N;\N;Romance,Short;;
tt0000575;short;20,000 Leagues Under the Sea;20000 lieues sous les mers;0;1907;\N;10;Adventure,Fantasy,Sci-Fi;5.8;465
tt0000579;short;The Bandit Makes Good;The Bandit Makes Good;0;1908;\N;\N;Short,Western;;
tt0000608;short;En ny hat til Madammen;En ny hat til Madammen;0;1906;\N;\N;Comedy,Short;6.2;11
tt0000614;short;The Red Spectre;Le spectre rouge;0;1907;\N;9;Fantasy,Horror,Short;6.5;980
tt0000618;short;Salaviinanpolttajat;Salaviinanpolttajat;0;1907;\N;20;Comedy,Short;8.1;14
tt0000621;short;That Fatal Sneeze;That Fatal Sneeze;0;1907;\N;6;Comedy,Fantasy,Short;6.5;568
tt0000630;movie;Hamlet;Amleto;0;1908;\N;\N;Drama;3.8;23
tt0000640;short;An Awful Moment;An Awful Moment;0;1908;\N;12;Drama,Short;4.3;130
tt0000644;short;Behind the Scenes;Behind the Scenes;0;1908;\N;9;Drama,Short;5.5;62
tt0000648;short;The Black Viper;The Black Viper;0;1908;\N;10;Drama,Short;4.7;151
tt0000658;short;The Puppet's Nightmare;Le cauchemar de Fantoche;0;1908;\N;2;Animation,Short;6.5;212
tt0000667;short;Corrida de toros con Ricardo Torres 'Bombita';Corrida de toros con Ricardo Torres 'Bombita';0;1908;\N;9;Documentary,Short,Sport;;
tt0000675;movie;Don Quijote;Don Quijote;0;1908;\N;\N;Drama;4.9;19
tt0000681;short;A Famous Escape;A Famous Escape;0;1908;\N;\N;Drama,Short;5.9;40
tt0000688;short;The Flower Girl of Paris;The Flower Girl of Paris;0;1908;\N;\N;Drama,Short;;
tt0000703;short;Hulda's Lovers;Hulda's Lovers;0;1908;\N;\N;Comedy,Short;;
tt0000716;short;Lonesome Junction;Lonesome Junction;0;1908;\N;\N;Comedy,Short,Western;;
tt0000717;short;Macbeth;Macbeth;0;1908;\N;9;Drama,Short;5.9;18
tt0000725;short;Mixed Babies;Mixed Babies;0;1908;\N;\N;Comedy,Short;;
tt0000748;short;The Red Man and the Child;The Red Man and the Child;0;1908;\N;14;Action,Short,Western;5.9;26
tt0000750;short;Richard III;Richard III;0;1908;\N;\N;Drama,Short;7.0;15
tt0000766;short;The Stage-Struck Daughter;The Stage-Struck Daughter;0;1908;\N;\N;Short;;
tt0000779;short;The Vaquero's Vow;The Vaquero's Vow;0;1908;\N;13;Action,Romance,Short;5.7;16
tt0000788;short;The Yellow Peril;The Yellow Peril;0;1908;\N;\N;Comedy,Short;;
tt0000806;short;The Best Man Wins;The Best Man Wins;0;1909;\N;\N;Short,Western;;
tt0000810;short;The Black Sheep;The Black Sheep;0;1909;\N;\N;Drama,Short;;
tt0000822;short;Celos gitanos;Celos gitanos;0;1909;\N;24;Short;;
tt0000824;short;A Child of the Forest;A Child of the Forest;0;1909;\N;\N;Drama,Short;;
tt0000825;short;The Children's Friend;The Children's Friend;0;1909;\N;4;Drama,Short;4.8;55
tt0000830;short;Corazón de madre;Corazón de madre;0;1909;\N;12;Drama,Short;;
tt0000839;short;The Curse of Money;The Curse of Money;0;1909;\N;\N;Drama,Short;;
tt0000840;short;The Curtain Pole;The Curtain Pole;0;1909;\N;13;Comedy,Short;5.6;312
tt0000849;short;Dos guapos frente a frente;Dos guapos frente a frente;0;1909;\N;\N;Comedy,Short;;
tt0000861;short;A Fair Exchange;A Fair Exchange;0;1909;\N;11;Drama,Short;5.3;59
tt0000862;movie;Faldgruben;Faldgruben;0;1909;\N;\N;\N;5.1;16
tt0000866;short;Fellow Clerks;Fellow Clerks;0;1909;\N;\N;Crime,Drama,Short;6.3;9
tt0000880;short;The Girls and Daddy;The Girls and Daddy;0;1909;\N;15;Drama,Short;5.9;75
tt0000895;short;The Hessian Renegades;The Hessian Renegades;0;1909;\N;10;Drama,Short,War;5.6;190
tt0000901;short;His Wife's Mother;His Wife's Mother;0;1909;\N;6;Comedy,Short;4.7;23
tt0000904;short;The House of Cards;The House of Cards;0;1909;\N;16;Drama,Short,Western;5.3;107
tt0000908;short;In Old Kentucky;In Old Kentucky;0;1909;\N;11;Drama,Short,War;5.9;30
tt0000914;short;Industria del corcho;Industria del corcho;0;1909;\N;7;Short;;
tt0000918;short;Jessie, the Stolen Child;Jessie, the Stolen Child;0;1909;\N;\N;Drama,Short;;
tt0000941;movie;Locura de amor;Locura de amor;0;1909;\N;\N;Drama;4.8;23
tt0000982;short;The New Servant;The New Servant;0;1909;\N;\N;Comedy,Short;;
tt0001006;short;Primera carrera internacional de automóviles 'Peña-Rhin';Primera carrera internacional de automóviles 'Peña-Rhin';0;1909;\N;10;Short;;
tt0001030;short;Saul and David;Saul and David;0;1909;\N;10;Drama,Short;;
tt0001033;short;The Seventh Day;The Seventh Day;0;1909;\N;8;Drama,Short;5.1;17
tt0001037;short;Sherlock Holmes V;Sherlock Holmes V;0;1909;\N;\N;Drama,Short;3.9;18
tt0001042;short;The Sleepwalker;The Sleepwalker;0;1909;\N;\N;Crime,Short;;
tt0001045;short;Le songe d'une nuit d'été;Le songe d'une nuit d'été;0;1910;\N;11;Comedy,Short;5.6;14
tt0001047;short;The Spanish Girl;The Spanish Girl;0;1909;\N;\N;Short,Western;;
tt0001051;movie;El sueño milagroso;El sueño milagroso;0;1909;\N;\N;\N;;
tt0001059;movie;O Terremoto de Benavente;O Terremoto de Benavente;0;1909;\N;\N;Documentary;;
tt0001072;short;A Trap for Santa Claus;A Trap for Santa Claus;0;1909;\N;16;Drama,Short;5.6;314
tt0001073;short;The Treacherous Policeman;The Treacherous Policeman;0;1909;\N;\N;Crime,Short;;
tt0001074;short;The Trick That Failed;The Trick That Failed;0;1909;\N;7;Drama,Short;6.0;20
tt0001082;movie;Viernes de dolores;Viernes de dolores;0;1909;\N;\N;\N;;
tt0001097;short;A Woman's Vanity;A Woman's Vanity;0;1909;\N;\N;Drama,Short;;
tt0001112;movie;Amleto;Amleto;0;1910;\N;\N;Drama;3.7;36
tt0001120;short;As It Is in Life;As It Is in Life;0;1910;\N;16;Drama,Short;5.6;224
tt0001123;short;Away Out West;Away Out West;0;1910;\N;\N;Short,Western;;
tt0001134;short;Briton and Boer;Briton and Boer;0;1909;\N;\N;Action,Short,War;;
tt0001143;short;The Call to Arms;The Call to Arms;0;1910;\N;17;Drama,Short;4.7;51
tt0001163;movie;Corrida da Rampa;Corrida da Rampa;0;1910;\N;\N;Documentary;;
tt0001170;short;A Cowboy's Vindication;A Cowboy's Vindication;0;1910;\N;\N;Short,Western;;
tt0001180;short;The Desperado;The Desperado;0;1910;\N;\N;Short,Western;;
tt0001187;short;The Duke's Plan;The Duke's Plan;0;1910;\N;11;Drama,Short;4.4;39
tt0001190;short;Døden;Døden;0;1910;\N;\N;Drama,Short;6.6;13
tt0001192;short;The Electrical Vitalizer;The Electrical Vitalizer;0;1910;\N;9;Comedy,Short;;
tt0001194;short;Elskovsleg;Elskovsleg;0;1910;\N;\N;Short;;
tt0001209;short;Una farsa de colas;Una farsa de colas;0;1910;\N;\N;Comedy,Short;;
tt0001220;short;The Flower of the Ranch;The Flower of the Ranch;0;1910;\N;\N;Short,Western;;
tt0001223;short;Frankenstein;Frankenstein;0;1910;\N;16;Fantasy,Horror,Sci-Fi;6.4;3929
tt0001234;short;Gold Is Not All;Gold Is Not All;0;1910;\N;16;Drama,Short;5.4;43
tt0001243;short;Her Father's Pride;Her Father's Pride;0;1910;\N;11;Drama,Short;;
tt0001260;short;The Impalement;The Impalement;0;1910;\N;16;Drama,Short;;
tt0001268;short;In the Season of Buds;In the Season of Buds;0;1910;\N;17;Drama,Short;;
tt0001283;short;The Last Deal;The Last Deal;0;1910;\N;11;Drama,Short;6.2;21
tt0001288;short;The Little Prospector;The Little Prospector;0;1910;\N;\N;Short,Western;;
tt0001301;short;Madre mía;Madre mía;0;1910;\N;12;Short;;
tt0001309;short;The Masher;The Masher;0;1910;\N;\N;Comedy,Short;;
tt0001312;short;Mellem pligt og kærlighed;Mellem pligt og kærlighed;0;1910;\N;\N;Short;;
tt0001315;short;The Message of the Violin;The Message of the Violin;0;1910;\N;17;Drama,Short;6.2;23
tt0001317;short;The Mexican's Faith;The Mexican's Faith;0;1910;\N;\N;Short,Western;;
tt0001333;short;Muggsy's First Sweetheart;Muggsy's First Sweetheart;0;1910;\N;16;Comedy,Short;5.7;48
tt0001348;movie;Orientalsk dans;Orientalsk dans;0;1910;\N;\N;\N;;
tt0001349;short;Our Darling;Our Darling;0;1910;\N;\N;Short;;
tt0001359;movie;A Pesca do Bacalhau;A Pesca do Bacalhau;0;1910;\N;\N;Documentary;;
tt0001371;short;Ramona;Ramona;0;1910;\N;17;Drama,Romance,Short;5.9;390
tt0001374;short;The Ranchman's Feud;The Ranchman's Feud;0;1910;\N;\N;Short,Western;;
tt0001394;short;The Sheriff's Sacrifice;The Sheriff's Sacrifice;0;1910;\N;\N;Short,Western;;
tt0001399;short;The Smoker;The Smoker;0;1910;\N;\N;Comedy,Short;;
tt0001405;short;A Summer Idyll;A Summer Idyll;0;1910;\N;17;Romance,Short;;
tt0001409;short;Taming Wild Animals;Taming Wild Animals;0;1910;\N;\N;Action,Adventure,Drama;;
tt0001413;short;The Tenderfoot's Triumph;The Tenderfoot's Triumph;0;1910;\N;\N;Short,Western;;
tt0001432;short;Uncle Tom's Cabin;Uncle Tom's Cabin;0;1910;\N;42;Drama,Short;5.8;26
tt0001444;short;Värmlänningarne;Värmlänningarne;0;1910;\N;23;Short;3.3;32
tt0001448;short;Western Chivalry;Western Chivalry;0;1910;\N;\N;Short,Western;;
tt0001454;short;When We Were in Our Teens;When We Were in Our Teens;0;1910;\N;5;Comedy,Short;5.5;28
tt0001459;short;Winning Back His Love;Winning Back His Love;0;1910;\N;17;Drama,Romance,Short;5.5;56
tt0001468;short;The Adopted Child;The Adopted Child;0;1911;\N;19;Drama,Short;;
tt0001482;short;As in a Looking Glass;As in a Looking Glass;0;1911;\N;30;Drama,Short;5.1;78
tt0001519;short;Broncho Billy's Christmas Dinner;Broncho Billy's Christmas Dinner;0;1911;\N;\N;Short,Western;5.3;35
tt0001525;short;Caesar's Prisoners;Caesar's Prisoners;0;1911;\N;19;Short;;
tt0001526;short;The Call of the Song;The Call of the Song;0;1911;\N;\N;Drama,Romance,Short;;
tt0001531;movie;Captain Starlight, or Gentleman of the Road;Captain Starlight, or Gentleman of the Road;0;1911;\N;\N;\N;4.6;13
tt0001537;short;The Cattleman's Daughter;The Cattleman's Daughter;0;1911;\N;\N;Short,Western;;
tt0001542;short;The Chief's Daughter;The Chief's Daughter;0;1911;\N;17;Romance,Short;4.0;34
tt0001550;short;The Coffin Ship;The Coffin Ship;0;1911;\N;15;Adventure,Short;5.5;48
tt0001564;short;The Crooked Road;The Crooked Road;0;1911;\N;17;Drama,Short;4.1;30
tt0001572;short;Dandy Dick of Bishopsgate;Dandy Dick of Bishopsgate;0;1911;\N;19;Drama,Short;;
tt0001581;short;A Devoted Friend;A Devoted Friend;0;1911;\N;19;Short;;
tt0001585;short;The Doctor;The Doctor;0;1911;\N;\N;Drama,Short;;
tt0001591;short;Le dévouement d'un gosse;Le dévouement d'un gosse;0;1911;\N;8;Drama,Short;;
tt0001600;short;The Faithful Indian;The Faithful Indian;0;1910;\N;11;Short,Western;;
tt0001611;short;Fiestas del Sitio en Bilbao;Fiestas del Sitio en Bilbao;0;1911;\N;\N;Documentary,Short;;
tt0001626;short;Forgiven in Death;Forgiven in Death;0;1911;\N;\N;Short,Western;;
tt0001629;short;Freezing Auntie;Freezing Auntie;0;1912;\N;6;Comedy,Sci-Fi,Short;;
tt0001638;short;The General's Daughter;The General's Daughter;0;1911;\N;\N;Drama,Short;;
tt0001642;short;Get Rich Quick;Get Rich Quick;0;1911;\N;13;Drama,Short;5.2;38
tt0001654;short;Heart Beats of Long Ago;Heart Beats of Long Ago;0;1911;\N;17;Drama,Romance,Short;5.4;35
tt0001664;short;Her Two Sons;Her Two Sons;0;1911;\N;\N;Drama,Romance,Short;;
tt0001668;short;The Highlander;The Highlander;0;1911;\N;18;Romance,Short;4.2;36
tt0001673;short;His Friend's Wife;His Friend's Wife;0;1911;\N;\N;Drama,Romance,Short;;
tt0001694;short;In Old California When the Gringos Came;In Old California When the Gringos Came;0;1911;\N;\N;Short,Western;;
tt0001702;short;The Indian Maiden's Lesson;The Indian Maiden's Lesson;0;1911;\N;\N;Short,Western;;
tt0001706;movie;The Infant at Snakeville;The Infant at Snakeville;0;1911;\N;\N;\N;4.5;15
tt0001709;short;The Italian Barber;The Italian Barber;0;1911;\N;17;Comedy,Short;5.7;36
tt0001722;short;A Knight of the Road;A Knight of the Road;0;1911;\N;18;Comedy,Short;3.7;12
tt0001728;short;The Last of the Mohicans;The Last of the Mohicans;0;1911;\N;\N;Adventure,Short;7.7;15
tt0001732;short;The Lighthouse Keeper;The Lighthouse Keeper;0;1911;\N;\N;Drama,Short;7.1;15
tt0001733;short;The Lily of the Tenements;The Lily of the Tenements;0;1911;\N;17;Drama,Short;5.2;23
tt0001734;short;The Little Daughter's Letter;The Little Daughter's Letter;0;1911;\N;16;Drama,Short;;
tt0001740;short;The Lonedale Operator;The Lonedale Operator;0;1911;\N;17;Drama,Romance,Short;6.5;1136
tt0001751;short;Love and Hatred;Love and Hatred;0;1911;\N;\N;Drama,Short,Western;;
tt0001758;short;A Lucky Escape;A Lucky Escape;0;1911;\N;15;Short;;
tt0001768;short;Major the Red Cross Dog;Major the Red Cross Dog;0;1911;\N;\N;Drama,Short;;
tt0001780;movie;Midsummer Tide;Midsummer Tide;0;1911;\N;\N;\N;;
tt0001782;short;Mike, the Miser;Mike, the Miser;0;1911;\N;\N;Drama,Short;;
tt0001790;movie;Les Misérables, Part 1: Jean Valjean;Les misérables - Époque 1: Jean Valjean;0;1913;\N;60;Drama;6.0;44
tt0001794;short;The Modern Pygmalion and Galatea;The Modern Pygmalion and Galatea;0;1911;\N;9;Short;;
tt0001796;short;Monasterio de Ripoll;Monasterio de Ripoll;0;1911;\N;9;Documentary,Short;;
tt0001797;short;Money to Burn;Money to Burn;0;1911;\N;\N;Comedy,Short;;
tt0001801;short;Mustang Pete's Love Affair;Mustang Pete's Love Affair;0;1911;\N;\N;Comedy,Short;;
tt0001809;short;The New Manager;The New Manager;0;1911;\N;\N;Drama,Short;;
tt0001811;short;The O'Neill;The O'Neill;0;1912;\N;\N;Drama,Short;;
tt0001812;movie;Oedipus Rex;Oedipus Rex;0;1911;\N;56;Drama;6.3;13
tt0001813;short;The Old Confectioner's Mistake;The Old Confectioner's Mistake;0;1911;\N;17;Drama,Short;;
tt0001833;short;The Poisoned Flume;The Poisoned Flume;0;1911;\N;10;Short,Western;;
tt0001856;short;The Revenue Man and the Girl;The Revenue Man and the Girl;0;1911;\N;17;Drama,Short;4.7;47
tt0001859;short;The Rise and Fall of Weary Willie;The Rise and Fall of Weary Willie;0;1911;\N;\N;Comedy,Short;;
tt0001866;short;The Rose's Story;The Rose's Story;0;1911;\N;\N;Drama,Romance,Short;;
tt0001876;short;The Sentinel Asleep;The Sentinel Asleep;0;1911;\N;\N;Drama,Short;;
tt0001879;short;The Sheriff's Chum;The Sheriff's Chum;0;1911;\N;\N;Short,Western;;
tt0001883;short;The Silken Thread;The Silken Thread;0;1911;\N;14;Short;;
tt0001886;short;The Siege of Calais;Le siège de Calais;0;1911;\N;\N;Drama,Short,War;;
tt0001887;short;The Skating Bug;The Skating Bug;0;1911;\N;\N;Comedy,Short;;
tt0001888;short;The Sky Pilot;The Sky Pilot;0;1911;\N;\N;Drama,Short;;
tt0001909;short;Swank and the Remedy;Swank and the Remedy;0;1911;\N;17;Short;;
tt0001911;movie;Nell Gwynne;Sweet Nell of Old Drury;0;1911;\N;50;Biography,Drama,History;5.0;20
tt0001924;short;The Thief and the Girl;The Thief and the Girl;0;1911;\N;18;Drama,Short;4.7;12
tt0001930;short;The Thumb Print;The Thumb Print;0;1911;\N;\N;Drama,Short;;
tt0001932;short;The Tomboy;The Tomboy;0;1911;\N;\N;Drama,Short;;
tt0001939;short;The Tribe's Penalty;The Tribe's Penalty;0;1911;\N;\N;Short,Western;;
tt0001943;short;Two Can Play at the Same Game;Two Can Play at the Same Game;0;1911;\N;14;Short;;
tt0001961;short;An Unwilling Cowboy;An Unwilling Cowboy;0;1911;\N;10;Comedy,Short,Western;;
tt0001962;short;Van Bibber's Experiment;Van Bibber's Experiment;0;1911;\N;\N;Drama,Short;;
tt0001965;movie;Vicio y virtud;Vicio y virtud;0;1911;\N;\N;\N;;
tt0001971;short;Western Hearts;Western Hearts;0;1911;\N;10;Short,Western;;
tt0001973;short;What Shall We Do with Our Old?;What Shall We Do with Our Old?;0;1911;\N;17;Drama,Short;6.1;269
tt0001978;short;When a Man Loves;When a Man Loves;0;1911;\N;17;Drama,Romance,Short;5.8;23
tt0001983;short;The White Rose of the Wilds;The White Rose of the Wilds;0;1911;\N;17;Drama,Short;;
tt0002009;short;Alkali Ike's Love Affair;Alkali Ike's Love Affair;0;1912;\N;\N;Comedy,Short,Western;;
tt0002017;short;Ambitious Butler;Ambitious Butler;0;1912;\N;6;Comedy,Short;;
tt0002018;short;An American Invasion;An American Invasion;0;1912;\N;\N;Drama,Short;;
tt10160736;tvEpisode;#MeToo im Bundeshaus;#MeToo im Bundeshaus;0;2017;\N;\N;Biography;;
tt10160742;movie;National Theater Live: Cyrano de Bergerac;NT Live: Cyrano de Bergerac;0;2019;\N;160;Drama,Romance;8.8;295
tt10160744;tvEpisode;Episode #1.692;Episode #1.692;0;1967;\N;\N;Family;;
tt10160778;short;Now It's Dark;Now It's Dark;0;2017;\N;\N;Sci-Fi,Short;;
tt10160782;movie;Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities;Cirque du Soleil: KURIOS - Cabinet of Curiosities;0;2018;\N;105;Fantasy,Sport;7.9;30
tt10160788;tvSeries;LaughBreak;LaughBreak;0;2009;2010;\N;Comedy;;
tt10160810;tvEpisode;Wer hat das Geld gestohlen?;Wer hat das Geld gestohlen?;0;2019;\N;\N;Drama,Romance;;
tt10160856;tvEpisode;Episode #1.9740;Episode #1.9740;0;2019;\N;22;Drama,Romance;;
tt10160870;tvEpisode;Sayara Rodrigues Enjoys Hard Ass-Pounding!;Sayara Rodrigues Enjoys Hard Ass-Pounding!;1;2013;\N;22;Adult;;
tt10160878;tvEpisode;Episode dated 4 October 2019;Episode dated 4 October 2019;0;2019;\N;\N;\N;;
tt10160890;tvMovie;Kreutzer-szonáta;Kreutzer-szonáta;0;1963;\N;\N;Drama;;
tt10160892;tvEpisode;Seattle, WA;Seattle, WA;0;2019;\N;\N;Reality-TV;;
tt10160936;short;Goodbye Dessa;Goodbye Dessa;0;2019;\N;6;Sci-Fi,Short;;
tt10160938;tvEpisode;Episode #1.9741;Episode #1.9741;0;2019;\N;22;Drama,Romance;;
tt10160952;short;Will Heaven Wait?;Will Heaven Wait?;0;\N;\N;21;Drama,Mystery,Short;;
tt10160962;short;Profile;Profile;0;2007;\N;2;Drama,Short;;
tt10160966;tvEpisode;Nicole Takes Yago's Cock;Nicole Takes Yago's Cock;1;2013;\N;23;Adult;;
tt10160974;movie;Witch Hunt;Witch Hunt;0;2021;\N;98;Fantasy,Horror,Thriller;4.2;309
tt10160980;tvEpisode;Versatile Wanessa Waitzel;Versatile Wanessa Waitzel;1;2013;\N;25;Adult;;
tt10161006;tvEpisode;Épisode 439;Épisode 439;0;2019;\N;26;Crime,Thriller;;
tt10161018;tvEpisode;Episode #1.8;Episode #1.8;0;2019;\N;\N;Comedy;;
tt10161056;tvEpisode;Episode #3.3;Episode #3.3;0;2019;\N;\N;Comedy,Drama;;
tt10161060;tvEpisode;Episode #3.5;Episode #3.5;0;2019;\N;\N;Comedy,Drama;;
tt10161064;tvEpisode;Patricia Andrade Gives Her Ass To Alex!;Patricia Andrade Gives Her Ass To Alex!;1;2013;\N;18;Adult;;
tt10161074;tvEpisode;Dance;Dance;0;2019;\N;\N;Family;;
tt10161088;tvEpisode;Episode #2.109;Episode #2.109;0;2019;\N;\N;Comedy,Drama;;
tt10161090;video;Shrey Singhal: Fallin for You;Shrey Singhal: Fallin for You;0;2019;\N;3;Music,Short;;
tt10161092;tvSpecial;6th Australians in Film Annual Awards;6th Australians in Film Annual Awards;0;2017;\N;\N;\N;;
tt10161094;tvSeries;Debosi;Debosi;0;2016;\N;10;Reality-TV;;
tt10161098;tvEpisode;Dr. Albert Ellis, Gerald Sussman, Joanna Barnes;Dr. Albert Ellis, Gerald Sussman, Joanna Barnes;0;1965;\N;\N;\N;;
tt10161104;tvEpisode;Grief;Grief;0;2019;\N;26;Action,Adventure,Animation;7.2;55
tt10161114;tvEpisode;Night of the Wolves;Night of the Wolves;0;2019;\N;27;Action,Adventure,Animation;7.2;49
tt1016112;tvSeries;Kodikas da Mitsi;Kodikas da Mitsi;0;2006;\N;105;Comedy;5.8;17
tt10161130;tvEpisode;Marty Ingels, Cicely Tyson;Marty Ingels, Cicely Tyson;0;1965;\N;\N;Talk-Show;;
tt10161136;tvEpisode;Stars and Moon;Stars and Moon;0;2019;\N;\N;Family;;
tt10161144;short;Teen Suicide PSA (Public Service Announcement);Teen Suicide PSA (Public Service Announcement);0;2019;\N;\N;Drama,Short;;
